Position,Observed
-2.484351283,0.995994613
-2.398453037,0.994880411
-2.30803383,0.99442136
-2.219121611,0.994814552
-2.104590616,0.995383498
-2.008143463,0.995892203
-1.916217269,0.99440083
-1.825798063,0.994388957
-1.735378857,0.994837182
-1.64495965,0.995164286
-1.554540444,0.995399953
-1.464121237,0.997251219
-1.373702031,0.99756916
-1.290817758,0.996886185
-1.200398552,0.997754665
-1.085867557,0.996793815
-0.996955338,0.995661277
-0.908043118,0.996477405
-0.811595964,0.99456388
-0.725697718,0.995046274
-0.635278512,0.99265893
-0.538998801,0.987744907
-0.453602884,0.983715607
-0.386625694,0.978612439
-0.309392622,0.973954094
-0.213390862,0.967937874
-0.165896752,0.956914526
-0.10328129,0.940349521
-0.053848934,0.916478555
-0.026743766,0.896433409
0.029083939,0.891344303
0.101662047,0.90416411
0.140847135,0.919901299
0.204133715,0.937881994
0.233471905,0.954944818
0.293052799,0.970854205
0.320151102,0.980192858
0.417557248,0.985153677
0.452114203,0.9903386
0.51756637,0.990848661
0.596683175,0.994233055
0.678311626,0.998678366
0.714130828,0.996839729
0.781289055,0.9972309
0.870201275,0.998386195
0.969662402,0.999225559
1.066109555,0.997731573
1.150500815,0.996901246
1.243933995,0.996574938
1.340381148,0.998502662
1.430800355,0.99716932
1.519712574,0.996220184
1.610131781,0.996675341
1.685481119,0.997573941
1.78343526,0.997183089
1.8813894,0.995929854
1.986878474,0.995617491
2.07729768,0.996656376
2.167716887,0.996986588
2.258136093,0.994932803
2.3485553,0.994459797
2.438974506,0.994830807
2.54446358,0.99621349
2.612277985,0.997217513
