Position,Observed
-2.507333144,0.995131189
-2.422539051,0.997899675
-2.337744959,0.99979056
-2.252950866,0.998283626
-2.179933731,0.998041131
-2.069230332,0.997380637
-1.98443624,0.998340208
-1.899642147,0.997919883
-1.814848055,0.995100877
-1.734293667,0.999302105
-1.61463978,0.996020338
-1.503936382,1.001436062
-1.419142289,0.998926238
-1.334348197,0.998510965
-1.256620278,0.99847848
-1.146387958,0.995930994
-1.064420335,0.994878994
-0.981039477,0.996949903
-0.896245385,0.992742323
-0.798328397,0.990150141
-0.708991764,0.988245338
-0.624518861,0.983372931
-0.548589605,0.979270544
-0.462861687,0.97068995
-0.4055666,0.965394737
-0.369781312,0.961096491
-0.321529868,0.955429763
-0.247713718,0.944368324
-0.188828931,0.921275828
-0.145817665,0.888670209
-0.099778472,0.85131297
-0.054916217,0.819184962
1E-15,0.809429825
0.047713718,0.826622807
0.102970747,0.851900585
0.147495977,0.882977193
0.197917799,0.914598849
0.229295249,0.942016096
0.299183187,0.960641769
0.345924453,0.971535088
0.439261573,0.981731709
0.515980038,0.988126049
0.601783584,0.992985107
0.691624944,0.996322891
0.781264414,0.997990916
0.846918489,0.998245614
0.903728108,1.000757505
0.968433968,0.999373567
1.032820222,0.998907185
1.124680488,1.000135263
1.214336836,1.001062807
1.308401022,1.000442853
1.393195115,1.00005731
1.477989208,1.000076803
1.5627833,1.000512865
1.643337688,1.000085029
1.718239137,0.999879337
1.810099404,1.000826784
1.901959671,1.001340351
1.986753763,1.000635828
2.071547856,0.999694444
2.172829689,0.999947758
2.36832718,0.999659786
2.449588185,0.999715205
2.544981539,0.99851746
