Position,Observed
-2.49768876,1.000633284
-2.43777547,1.001208827
-2.377862179,1.000483128
-2.317948889,0.999850309
-2.258035598,1.000729835
-2.198122308,1.000255564
-2.138209017,1.000656698
-2.078295727,1.000705113
-2.018382436,0.999841039
-1.958469146,1.001325399
-1.898555855,1.00224278
-1.838642565,1.002600307
-1.778729274,1.001937272
-1.718815984,1.001188654
-1.658902694,1.00095325
-1.598989403,1.002167123
-1.539076113,1.001432356
-1.479162822,1.000727259
-1.419249532,1.001352753
-1.359336241,1.002153248
-1.299422951,1.002588289
-1.23950966,1.001233291
-1.17959637,1.000636612
-1.119683079,1.001001349
-1.059769789,1.002659709
-0.999856498,1.002210933
-0.939943208,1.002066949
-0.880029917,1.002039079
-0.820116627,1.001356902
-0.760203336,1.001488668
-0.700290046,1.001139868
-0.640376755,1.001550559
-0.580463465,1.000956798
-0.520550175,1.000706915
-0.460636884,1.000101995
-0.400723594,0.999427915
-0.340810303,0.996836416
-0.280897013,0.996270832
-0.220983722,0.993547016
-0.161070432,0.992292247
-0.104152806,0.985837511
-0.092130518,0.980623701
-0.048733012,0.974403819
0.023662214,0.97405479
0.069097889,0.978128898
0.115163148,0.984116424
0.142062288,0.989205286
0.203402085,0.9926029
0.254328382,0.994260927
0.318235892,0.997745778
0.378149183,0.99943484
0.438062473,0.998999798
0.497975763,0.998297963
0.557889054,0.998637464
0.617802344,0.999529436
0.677715635,1.001747049
0.737628925,1.001581805
0.797542216,1.001160069
0.857455506,1.001983397
0.917368797,1.001412956
0.977282087,1.003058697
1.037195378,1.002991169
1.097108668,1.003539406
1.157021959,1.001786707
1.216935249,1.001695544
1.27684854,1.001563349
1.33676183,1.002474121
1.396675121,1.00007959
1.456588411,1.001061695
1.516501702,1.003075865
1.576414992,1.002346218
1.636328282,1.002685804
1.696241573,1.001792258
1.756154863,1.001604038
1.816068154,1.001218269
1.875981444,1.000861972
1.935894735,1.001143187
1.995808025,1.001164018
2.055721316,1.000727259
2.115634606,1.001517739
2.175547897,1.000986327
2.235461187,1.000633292
2.295374478,1.000485875
2.355287768,1.00104281
2.415201059,1.002043143
2.475114349,1.001709966
2.53502764,1.000410507
2.579962607,1.000040533
