Position,Observed
-2.51822592,0.998918588
-2.435689965,0.997299785
-2.360572972,0.996673152
-2.284064923,1.000746268
-2.186691044,0.998996917
-2.103227718,0.99870971
-1.990552229,0.999534777
-1.909871014,1.001007365
-1.817927171,1.001135647
-1.705882353,1.001135647
-1.574626657,1.001378123
-1.481792717,1.001640379
-1.411873172,1.000965589
-1.322845625,0.99983765
-1.246498599,1.001135647
-1.15731003,1.003287613
-1.073846704,1.002182302
-0.990383379,0.998840258
-0.897182665,0.99756506
-0.816501451,0.995440774
-0.726082848,0.993322157
-0.675070028,0.991545741
-0.641625912,0.989328794
-0.574229692,0.985488959
-0.559156197,0.982660752
-0.509306317,0.98081294
-0.462184874,0.977413249
-0.428571429,0.973880126
-0.37254902,0.969337539
-0.33342584,0.964630089
-0.260504202,0.956719243
-0.210229401,0.939223131
-0.162895498,0.913113835
-0.117528049,0.878746017
-0.071131313,0.848717874
-0.00280112,0.838611987
0.030812325,0.850977918
0.070486478,0.87291473
0.133855538,0.898491807
0.178293273,0.926774985
0.237606952,0.948961943
0.280304005,0.96534155
0.333333333,0.974384858
0.389355742,0.981955836
0.434173669,0.986498423
0.490196078,0.990536278
0.525867033,0.993409438
0.623240913,0.99505435
0.699748961,0.998161406
0.791558619,0.99758177
0.873630889,0.997221456
0.957094215,1.001111804
1.04055754,0.999936867
1.1198477,0.999073157
1.207484191,1.001808063
1.290947517,1.001251056
1.374410842,1.000589609
1.457874168,1.000798487
1.577030812,0.999621451
1.700280112,0.998107256
1.81232493,0.997602524
1.923877735,0.999336343
1.988793655,0.998866368
2.097759663,0.998036079
2.167312434,0.995850696
2.248457334,0.996203177
2.348149639,0.995106569
2.431612965,0.996036075
2.508121013,0.996930072
2.570718507,0.997143127
